date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:54:18	26930/26930	---M-Z	200	added ('OK')	text/javascript	etag:%2219214e8-1dac-5590dd239bf00%22	http://hava-skafferisalonger.se/sites/default/files/js/js_PCySZxpBFMI6Vqfua-NwzB-0IM_m1fx8uDgio-6n310.js	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/js/js_PCySZxpBFMI6Vqfua-NwzB-0IM_m1fx8uDgio-6n310.js	(from http://hava-skafferisalonger.se/)
16:54:24	106378/106378	---MC-	200	added ('OK')	text/html	etag:%221538403182-0%22	http://hava-skafferisalonger.se/skafferi	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/skafferi.html	(from http://hava-skafferisalonger.se/)
16:54:24	113675/113675	---M-Z	200	added ('OK')	text/javascript	etag:%2219214f6-9a67-5590dc69a4840%22	http://hava-skafferisalonger.se/sites/default/files/js/js_gPM6NXOQjN2XM2JWQGfy07nKmcdDFrL289YA7h80ySs.js	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/js/js_gPM6NXOQjN2XM2JWQGfy07nKmcdDFrL289YA7h80ySs.js	(from http://hava-skafferisalonger.se/)
16:54:26	104109/104109	---MC-	200	added ('OK')	text/html	etag:%221538403156-0%22	http://hava-skafferisalonger.se/salonger	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/salonger.html	(from http://hava-skafferisalonger.se/)
16:54:26	16951/16951	---MC-	200	added ('OK')	text/html	etag:%221538403175-0%22	http://hava-skafferisalonger.se/g%c3%a5rden	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/g%c3%a5rden.html	(from http://hava-skafferisalonger.se/)
16:54:26	19851/19851	---MC-	200	added ('OK')	text/html	etag:%221538404729-0%22	http://hava-skafferisalonger.se/aktuellt	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/aktuellt.html	(from http://hava-skafferisalonger.se/)
16:54:27	276/276	---M--	200	added ('OK')	image/png	etag:%22192146e-114-5379826ad46c0%22	http://hava-skafferisalonger.se/sites/default/files/facebook.png	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/facebook.png	(from http://hava-skafferisalonger.se/)
16:54:27	634/634	---M--	200	added ('OK')	image/png	etag:%221921471-27a-537489bd2a6c0%22	http://hava-skafferisalonger.se/sites/default/files/instagram.png	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/instagram.png	(from http://hava-skafferisalonger.se/)
16:54:27	15052/15052	---MC-	200	added ('OK')	text/html	etag:%221538405667-0%22	http://hava-skafferisalonger.se/file/havanowopen1338x277pxjpg	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/file/havanowopen1338x277pxjpg.html	(from http://hava-skafferisalonger.se/)
16:54:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Oct%202018%2014:54:27%20GMT	http://hava-skafferisalonger.se/fika-0	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/fika-0	(from http://hava-skafferisalonger.se/)
16:54:28	39695/39695	---MC-	200	added ('OK')	text/javascript	date:Thu,%2013%20Sep%202018%2023:12:19%20GMT	http://www.google-analytics.com/analytics.js	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/www.google-analytics.com/analytics.js	(from http://hava-skafferisalonger.se/)
16:54:29	10081/-1	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Oct%202018%2014:54:28%20GMT	http://hava-skafferisalonger.se/skafferi#fika	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/skafferi#fika	(from http://hava-skafferisalonger.se/)
16:54:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Oct%202018%2014:54:29%20GMT	http://hava-skafferisalonger.se/lunch	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/lunch.1b.delayed	(from http://hava-skafferisalonger.se/)
16:54:30	10083/-1	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Oct%202018%2014:54:29%20GMT	http://hava-skafferisalonger.se/skafferi#lunch	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/skafferi#lunch	(from http://hava-skafferisalonger.se/)
16:54:31	16574/16574	---M--	200	added ('OK')	image/jpeg	etag:%221921512-40be-53cccbae33280%22	http://hava-skafferisalonger.se/sites/default/files/styles/aktuellt/public/Hava_fika_316x260px.jpg?itok=iXGmxR7y	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/styles/aktuellt/public/Hava_fika_316x260px00c8.jpg	(from http://hava-skafferisalonger.se/)
16:54:32	16088/16088	---MC-	200	added ('OK')	text/html	etag:%221538405671-0%22	http://hava-skafferisalonger.se/havas-helgkasse	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/havas-helgkasse.html	(from http://hava-skafferisalonger.se/)
16:54:34	18055/18055	---M--	200	added ('OK')	image/jpeg	etag:%221921457-4687-5772b3dd8d18a%22	http://hava-skafferisalonger.se/sites/default/files/styles/aktuellt/public/lunch%20hava.jpeg?itok=Na1Vymqb	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/styles/aktuellt/public/lunch%20hava0bc1.jpg	(from http://hava-skafferisalonger.se/)
16:54:35	15064/15064	---MC-	200	added ('OK')	text/html	etag:%221538405674-0%22	http://hava-skafferisalonger.se/file/havaocc88ppet338x277pxjpg	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/file/havaocc88ppet338x277pxjpg.html	(from http://hava-skafferisalonger.se/)
16:54:35	20247/20247	---M--	200	added ('OK')	image/jpeg	etag:%221921513-4f17-53ccca82bf000%22	http://hava-skafferisalonger.se/sites/default/files/styles/aktuellt/public/Helgkasse_316x260px.jpg?itok=vCJrXqgd	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/styles/aktuellt/public/Helgkasse_316x260px77d1.jpg	(from http://hava-skafferisalonger.se/)
16:54:35	20223/20223	---M--	200	added ('OK')	image/jpeg	etag:%221921511-4eff-53cccde1d2440%22	http://hava-skafferisalonger.se/sites/default/files/styles/aktuellt/public/Ga%25CC%258Arden_316x260px.jpg?itok=Ny3EhJWU	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/styles/aktuellt/public/Ga%CC%8Arden_316x260px5e94.jpg	(from http://hava-skafferisalonger.se/)
16:54:36	15042/15042	---MC-	200	added ('OK')	text/html	etag:%221538405675-0%22	http://hava-skafferisalonger.se/file/havasplash338x277pxjpg	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/file/havasplash338x277pxjpg.html	(from http://hava-skafferisalonger.se/)
16:54:37	15046/15046	---MC-	200	added ('OK')	text/html	etag:%221538405676-0%22	http://hava-skafferisalonger.se/file/havabokning338x277pxjpg	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/file/havabokning338x277pxjpg.html	(from http://hava-skafferisalonger.se/)
16:54:45	115589/115589	---M--	200	added ('OK')	image/jpeg	etag:%22192144a-1c385-53ccdc9abe040%22	http://hava-skafferisalonger.se/sites/default/files/Hava_Splash_338x277px-2.jpg	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/Hava_Splash_338x277px-2.jpg	(from http://hava-skafferisalonger.se/)
16:54:45	8213/8213	---M-Z	200	added ('OK')	text/javascript	etag:%2219214e4-8b4-5590dc8fca240%22	http://hava-skafferisalonger.se/sites/default/files/js/js_L50O_PWoAuMOxVjnzZCkNSSmI0kFwhZsO1_KS8WnGKw.js	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/js/js_L50O_PWoAuMOxVjnzZCkNSSmI0kFwhZsO1_KS8WnGKw.js	(from http://hava-skafferisalonger.se/)
16:54:46	3059/3059	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Sep%202018%2015:45:33%20GMT	http://www.w3.org/StyleSheets/TR/base.css	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/www.w3.org/StyleSheets/TR/base.css	(from http://www.w3.org/1999/xhtml/vocab)
16:54:47	240/240	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Oct%202018%2009:50:18%20GMT	http://www.w3.org/Icons/WWW/w3c_home	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/www.w3.org/Icons/WWW/w3c_home.29.delayed	(from http://www.w3.org/1999/xhtml/vocab)
16:54:47	21718/21718	---M-Z	200	added ('OK')	text/css	etag:%2219214a8-10ad-5590dc8fca240%22	http://hava-skafferisalonger.se/sites/default/files/css/css_hmawOlvijsshrXXKam77v6iTl4G7_EiZUdmPmVBi2pE.css	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/css/css_hmawOlvijsshrXXKam77v6iTl4G7_EiZUdmPmVBi2pE.css	(from http://hava-skafferisalonger.se/skafferi)
16:54:48	18451/18451	---M-Z	200	added ('OK')	text/javascript	etag:%221922872-1459-55aba3b31400e%22	http://hava-skafferisalonger.se/sites/default/files/js/js_Z4iSVB9YAxP9Q2DW-3TgRzYKM0dBxOOk1IGP0gvkaTk.js	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/js/js_Z4iSVB9YAxP9Q2DW-3TgRzYKM0dBxOOk1IGP0gvkaTk.js	(from http://hava-skafferisalonger.se/skafferi)
16:54:49	15035/15035	---MC-	200	added ('OK')	text/html	etag:%221538405688-0%22	http://hava-skafferisalonger.se/file/bakgrundsbildtopjpg-0	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/file/bakgrundsbildtopjpg-0.html	(from http://hava-skafferisalonger.se/skafferi)
16:54:51	88570/88570	---M--	200	added ('OK')	image/jpeg	etag:%22192144f-159fa-53ccdd27e2d40%22	http://hava-skafferisalonger.se/sites/default/files/Hava_bokning_338x277px.jpg	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/Hava_bokning_338x277px.jpg	(from http://hava-skafferisalonger.se/)
16:54:53	112412/112412	---M--	200	added ('OK')	image/jpeg	etag:%221921453-1b71c-53ccdd01bd340%22	http://hava-skafferisalonger.se/sites/default/files/Hava_o%25CC%2588ppet_338x277px.jpg	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/Hava_o%CC%88ppet_338x277px.jpg	(from http://hava-skafferisalonger.se/)
16:54:55	15039/15039	---MC-	200	added ('OK')	text/html	etag:%221538405693-0%22	http://hava-skafferisalonger.se/file/vinlistaingressbildjpg	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/file/vinlistaingressbildjpg.html	(from http://hava-skafferisalonger.se/skafferi)
16:54:55	115589/115589	---M--	200	added ('OK')	image/jpeg	etag:%22192144d-1c385-53cec8f51bb80%22	http://hava-skafferisalonger.se/sites/default/files/Hava_Splash_338x277px.jpg	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/Hava_Splash_338x277px.jpg	(from http://hava-skafferisalonger.se/)
